,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
9645,0.619,0.857,4,-5.152,0,0.0351,0.0563,1.14e-05,0.137,0.393,130.039,audio_features,57JfQx5rPJoSTohtr0u5VH,spotify:track:57JfQx5rPJoSTohtr0u5VH,https://api.spotify.com/v1/tracks/57JfQx5rPJoSTohtr0u5VH,https://api.spotify.com/v1/audio-analysis/57JfQx5rPJoSTohtr0u5VH,196162,4
9646,0.31,0.217,9,-11.316,1,0.0318,0.869,2.4e-05,0.115,0.242,167.984,audio_features,1jeokArliv0hOm2nTT8BPt,spotify:track:1jeokArliv0hOm2nTT8BPt,https://api.spotify.com/v1/tracks/1jeokArliv0hOm2nTT8BPt,https://api.spotify.com/v1/audio-analysis/1jeokArliv0hOm2nTT8BPt,259493,3
9647,0.546,0.432,5,-6.796,1,0.0475,0.488,4.73e-05,0.324,0.117,120.018,audio_features,65VIo2j7BuwSmjM9qXpOyT,spotify:track:65VIo2j7BuwSmjM9qXpOyT,https://api.spotify.com/v1/tracks/65VIo2j7BuwSmjM9qXpOyT,https://api.spotify.com/v1/audio-analysis/65VIo2j7BuwSmjM9qXpOyT,260000,3
9648,0.509,0.349,4,-10.093,1,0.0411,0.633,3.6e-06,0.0877,0.106,84.303,audio_features,4rzWrb9KT2v71cyuHhcbJY,spotify:track:4rzWrb9KT2v71cyuHhcbJY,https://api.spotify.com/v1/tracks/4rzWrb9KT2v71cyuHhcbJY,https://api.spotify.com/v1/audio-analysis/4rzWrb9KT2v71cyuHhcbJY,219853,4
9649,0.676,0.432,7,-8.035,0,0.0339,0.0626,0.0,0.103,0.156,124.597,audio_features,5zuoz1NBnpoHK6g5sbEH8F,spotify:track:5zuoz1NBnpoHK6g5sbEH8F,https://api.spotify.com/v1/tracks/5zuoz1NBnpoHK6g5sbEH8F,https://api.spotify.com/v1/audio-analysis/5zuoz1NBnpoHK6g5sbEH8F,258120,4
9650,0.813,0.592,7,-7.392,1,0.0585,0.379,1.88e-06,0.125,0.48,109.944,audio_features,1ohXrU5DLEfUlfo4tIYbqJ,spotify:track:1ohXrU5DLEfUlfo4tIYbqJ,https://api.spotify.com/v1/tracks/1ohXrU5DLEfUlfo4tIYbqJ,https://api.spotify.com/v1/audio-analysis/1ohXrU5DLEfUlfo4tIYbqJ,235729,4
9651,0.657,0.356,3,-11.808,1,0.0362,0.343,1.27e-06,0.11,0.394,78.914,audio_features,5C2Vas6jEIarFNVhNHuTGB,spotify:track:5C2Vas6jEIarFNVhNHuTGB,https://api.spotify.com/v1/tracks/5C2Vas6jEIarFNVhNHuTGB,https://api.spotify.com/v1/audio-analysis/5C2Vas6jEIarFNVhNHuTGB,138518,4
9652,0.681,0.529,7,-7.897,0,0.0341,0.201,0.0,0.184,0.568,91.081,audio_features,1Jm1I3APcmVz3MqPr5vfTx,spotify:track:1Jm1I3APcmVz3MqPr5vfTx,https://api.spotify.com/v1/tracks/1Jm1I3APcmVz3MqPr5vfTx,https://api.spotify.com/v1/audio-analysis/1Jm1I3APcmVz3MqPr5vfTx,293840,4
9653,0.439,0.928,7,-4.096,1,0.233,0.0254,0.0,0.1,0.599,169.928,audio_features,2EwFT76ID2ihecNQNKfwZP,spotify:track:2EwFT76ID2ihecNQNKfwZP,https://api.spotify.com/v1/tracks/2EwFT76ID2ihecNQNKfwZP,https://api.spotify.com/v1/audio-analysis/2EwFT76ID2ihecNQNKfwZP,272537,4
9654,0.577,0.607,4,-7.546,1,0.0318,0.0282,0.000166,0.212,0.355,107.911,audio_features,6tFqC6eJBASrdnSbKHoHYv,spotify:track:6tFqC6eJBASrdnSbKHoHYv,https://api.spotify.com/v1/tracks/6tFqC6eJBASrdnSbKHoHYv,https://api.spotify.com/v1/audio-analysis/6tFqC6eJBASrdnSbKHoHYv,235093,4
